hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
256,0.1,relu,integrator,-9.736220682821436,-9.281685674105486,-9.736220682821436,-9.281685674105486,-9.736220682821436,-9.281685674105486
256,0.5,tanh,go,-9.370219053262044,-6.6309835035052656,-0.7890079011739104,-0.6391400174783675,-0.7906788473606904,-0.6779981173567615
256,0.5,tanh,discrimination,-9.342762561863905,-7.775551925985072,-3.0380561353389295,-2.109520489764331,-1.8490460973718625,-0.6512209070641966
256,0.5,tanh,flop,-9.268281937941554,-6.28087188323263,-4.7306321393799,-4.4009410957940975,-4.992096626724751,-4.382995664608208
256,0.5,tanh,integrator,-9.298237776351577,-8.327956483341776,-0.6857968742756785,-0.25786863146873196,-0.5353063990526679,-0.1369543273825693
256,0.5,relu,go,-9.228360184633281,-7.806224709021276,-9.228360184633281,-7.806224709021276,-9.228360184633281,-7.806224709021276
256,0.5,relu,discrimination,-9.403278685136636,-7.67499881437385,-9.403278685136636,-7.67499881437385,-9.403278685136636,-7.67499881437385
256,0.5,relu,flop,-9.032311031288287,-6.48782123220232,-8.770877038183334,-6.470940850587023,-8.770877038183334,-6.470940850587023
256,0.5,relu,integrator,-9.418191363658476,-8.835880979077812,-3.815021118345782,-2.8146604232422936,-3.815021118345782,-2.8146604232422936
256,0.9,tanh,go,-8.985673242928778,-6.735005605132319,-2.869836952289865,-1.56336141170035,-2.5387280966752743,-1.361071808874868
256,0.9,tanh,discrimination,-9.273155715756904,-7.053012417526354,-1.2359130557047926,-1.2392014683466857,-1.1619026571875752,-0.7266370804217491
256,0.9,tanh,flop,-9.117379371709758,-6.574446340500801,-3.166646411238216,-2.860316174822481,-2.509517374909785,-2.104440812047971
256,0.9,tanh,integrator,-9.35566811875314,-8.27758562849855,-0.8198431622416418,-0.31974485580919093,-0.5029414478421518,-0.06346703829217781
256,0.9,relu,go,-9.32439158124913,-7.486037725893228,-9.319898276308468,-7.506471183630609,-9.319898276308468,-7.506471183630609
256,0.9,relu,discrimination,-9.47566375102545,-7.3338813352714265,-9.393474615736668,-7.3161948922599676,-9.393474615736668,-7.3161948922599676
256,0.9,relu,flop,-9.429139647460952,-7.10289767438844,-0.7038216236501457,0.21779853882498504,-0.7038216236501457,0.21779853882498504
256,0.9,relu,integrator,-9.316232724688055,-8.753344007081777,-2.6080753789754225,-1.628757685846831,-2.6075493587299654,-1.6276402663975669
512,0.1,tanh,go,-9.120593415824235,-6.884247392000533,-1.422021014906621,-0.8831117923933495,-0.5415912698322783,-0.3755496952654036
512,0.1,tanh,discrimination,-9.341888554266994,-7.062761240786096,-5.238936878247171,-3.21332819468068,-2.9413313737117885,-1.5192612697805616
512,0.1,tanh,flop,-4.181041802992511,-1.4255104537317838,0.3595110439631104,0.6411776656249775,0.34358207158459203,0.5137107809289942
512,0.1,tanh,integrator,-9.847490502881511,-8.460160591848853,-0.54212914757075,-0.23760169300905015,-0.9151242641106098,-0.3780257582266011
512,0.1,relu,go,-9.227210491568984,-7.479426975672076,-9.227210491568984,-7.479426975672076,-9.227210491568984,-7.479426975672076
512,0.1,relu,discrimination,-9.219743679884692,-7.22547345924931,-9.219743679884692,-7.22547345924931,-9.219743679884692,-7.22547345924931
512,0.1,relu,flop,-8.546916484369353,-5.525956793279869,-8.546916484369353,-5.525956793279869,-8.546916484369353,-5.525956793279869
512,0.1,relu,integrator,-9.371888821260766,-8.813217899020938,-9.371888821260766,-8.813217899020938,-9.371888821260766,-8.813217899020938
512,0.5,tanh,go,-9.239724177807888,-7.50756705010902,-1.2896291266599362,-0.9279946622715989,-2.09914057550892,-1.2215892002169935
512,0.5,tanh,discrimination,-9.220770040434244,-7.584516549775423,-2.2973554305516237,-0.7280174149963818,-2.6921548645269815,-1.4772794993702412
512,0.5,tanh,flop,-8.503190758544163,-4.402229596223489,-3.5639256181189936,-3.253387736294819,-0.23388153909777215,-0.5155624399706764
512,0.5,tanh,integrator,-8.918923754823808,-7.004280809534271,-1.4274383569987197,-1.158684062614739,-0.4379266705101512,-0.010816207974071084
512,0.5,relu,go,-9.314615000103728,-7.831984170482791,-9.314640680915787,-7.831964222350867,-9.314640680915787,-7.831964222350867
512,0.5,relu,discrimination,-9.129541292884563,-7.03671983375133,-9.129428484135502,-7.036734733347422,-9.129428484135502,-7.036734733347422
512,0.5,relu,flop,-9.288520467462263,-6.916355032590005,-9.289312893273435,-6.916967217052826,-9.289312893273435,-6.916967217052826
512,0.5,relu,integrator,-9.50116287259778,-8.989533978640356,-9.497391915749509,-8.987347891662901,-9.497391915749509,-8.987347891662901
512,0.9,tanh,go,-9.238757308759864,-7.190982597097583,-0.9273224724198817,-0.9554725299120654,-0.952170778830211,-0.9918496988006323
512,0.9,tanh,discrimination,-9.266809643047797,-7.190982674362835,-2.5325761372209947,-1.0645898154201838,-2.731554614902099,-1.467305333060176
512,0.9,tanh,flop,-8.478758251788703,-4.1771910448964364,-2.988771325035327,-3.036514446134741,-0.2577249328219015,-0.17472615878263992
512,0.9,tanh,integrator,-9.039571752387715,-7.855797309186539,-1.895491581389157,-1.3390856397013409,-0.7330459380169624,-0.22385696040354605
512,0.9,relu,go,-9.53062230943283,-7.787520692800323,-4.9359052696414745,-2.6630932431686527,-4.9359052696414745,-2.6630932431686527
512,0.9,relu,discrimination,-9.359320674152338,-6.706830867475278,-9.359320674152338,-6.706830867475278,-9.359320674152338,-6.706830867475278
512,0.9,relu,flop,-8.683254077508149,-5.7811531403973175,-1.6742630537753982,-0.6545409645652944,-1.674212972775332,-0.6545103415293024
512,0.9,relu,integrator,-10.4027058266616,-9.610587727996709,-7.869811068152542,-7.186753476273371,-7.869811068152542,-7.186753476273371
